测量序号,通道1值(um),通道2值(um),通道3值(um),计算直径(mm)
359,1272.99,1195.41,1185.94,17.602
360,1272.74,1194.99,1186.01,17.6024
361,1272.63,1195.6,1186.14,17.6019
362,1272.76,1195.26,1185.94,17.6022
363,1272.75,1195.18,1185.82,17.6023
364,1272.76,1195.53,1185.82,17.6021
365,1272.61,1195.13,1186.03,17.6023
366,1272.68,1195.28,1185.88,17.6023
367,1272.82,1195.06,1185.65,17.6025
368,1272.58,1195.02,1185.97,17.6025
369,1272.98,1195.27,1185.79,17.6022
370,1272.4,1195,1185.91,17.6026
371,1273.38,1195.2,1185.94,17.6018
372,1272.26,1195.11,1186.07,17.6026
373,1272.3,1195.07,1185.92,17.6027
374,1272.08,1195.06,1185.98,17.6028
375,1272.17,1195.35,1185.91,17.6026
376,1272.58,1195.1,1185.85,17.6025
377,1272.5,1195.35,1185.8,17.6024
378,1272.78,1195.11,1186.13,17.6022
379,1272.21,1195.62,1185.84,17.6024
380,1273.22,1195.26,1185.93,17.6019
381,1272.57,1194.97,1185.88,17.6026
382,1272.47,1195.14,1185.84,17.6026
383,1272.84,1194.85,1185.88,17.6025
384,1272.71,1195.18,1185.95,17.6023
385,1272.64,1194.99,1185.99,17.6024
386,1272.58,1195.11,1185.82,17.6025
387,1272.67,1195.18,1185.76,17.6024
388,1272.08,1195.26,1185.87,17.6027
389,1272.25,1195.32,1185.82,17.6026
390,1272.64,1194.82,1185.78,17.6027
391,1272.27,1194.97,1185.82,17.6028
392,1272.86,1195.53,1185.73,17.6021
393,1272.58,1195.2,1185.92,17.6024
394,1272.27,1195.12,1185.83,17.6027
395,1272.33,1194.85,1186.1,17.6027
396,1273.37,1194.96,1185.93,17.602
397,1272.78,1195.15,1186.17,17.6021
398,1272.79,1195.22,1185.94,17.6022
399,1272.65,1195.34,1186.02,17.6022
400,1272.71,1195.33,1185.87,17.6022
401,1272.54,1195.17,1185.88,17.6025
402,1272.48,1195.01,1185.85,17.6026
403,1272.14,1194.73,1185.64,17.6032
404,1272.54,1195.46,1185.6,17.6025
405,1272.43,1195.47,1185.79,17.6024
406,1272.83,1195.58,1185.82,17.602
407,1272.61,1195.51,1185.82,17.6022
408,1271.9,1194.96,1185.77,17.6031
409,1272.66,1195.26,1185.83,17.6024
410,1272.28,1195.22,1186.17,17.6024
411,1272.43,1195.32,1185.8,17.6025
412,1272.54,1194.78,1185.69,17.6028
413,1272.48,1194.95,1185.75,17.6027
414,1271.77,1195.2,1185.7,17.6031
415,1271.98,1195.04,1185.74,17.603
416,1272.84,1195.47,1185.88,17.6021
417,1272.5,1195.19,1185.72,17.6026
418,1272.54,1195.31,1185.92,17.6023
419,1272.73,1194.9,1185.92,17.6025
420,1272.39,1194.81,1185.97,17.6027
421,1272.26,1194.99,1185.75,17.6028
422,1272.66,1195.11,1185.82,17.6025
423,1273.01,1194.91,1185.75,17.6024
424,1272.89,1195.22,1185.87,17.6022
425,1272.38,1195.09,1185.82,17.6027
426,1272.86,1195.36,1185.76,17.6022
427,1272.92,1195.09,1185.85,17.6023
428,1272.49,1195.02,1185.66,17.6027
429,1272.74,1195.57,1185.81,17.6021
430,1272.85,1194.82,1185.93,17.6025
431,1272.95,1195.42,1185.92,17.602
432,1272.56,1194.89,1185.82,17.6027
433,1273.09,1195.64,1185.93,17.6017
434,1272.59,1195.57,1186.07,17.602
435,1272.43,1194.72,1186.13,17.6027
436,1273.04,1195.18,1186.02,17.602
437,1272.3,1195.18,1185.78,17.6027
438,1272.7,1194.75,1185.88,17.6026
439,1272.43,1194.71,1185.68,17.603
440,1272.42,1194.96,1185.85,17.6027
441,1272.8,1195.12,1185.76,17.6024
442,1272.85,1195.13,1185.82,17.6023
443,1271.73,1195.19,1185.8,17.603
444,1273.23,1194.99,1185.78,17.6022
445,1272.56,1195.17,1185.92,17.6024
446,1272.62,1195.18,1185.85,17.6024
447,1272.4,1194.81,1186.16,17.6026
448,1273.16,1194.76,1185.81,17.6024
449,1272.85,1195.22,1185.71,17.6023
450,1273.26,1195.03,1185.75,17.6022
451,1272.34,1194.79,1185.89,17.6028
452,1272.88,1195.09,1185.8,17.6023
453,1272.22,1195.59,1185.94,17.6024
454,1272.36,1195.06,1185.95,17.6026
455,1272.59,1195.11,1185.8,17.6025
456,1273.28,1194.75,1185.78,17.6023
457,1272.89,1195.39,1185.89,17.6021
458,1272.69,1195.15,1185.83,17.6024
459,1272.8,1195.38,1185.83,17.6022
460,1272.79,1194.66,1185.91,17.6026
461,1272.64,1194.56,1185.97,17.6027
462,1272.88,1195.26,1185.94,17.6021
463,1272.87,1195.01,1185.87,17.6024
464,1272.78,1195.33,1185.81,17.6022
465,1272.9,1195.52,1185.93,17.602
466,1272.1,1194.77,1185.91,17.603
467,1272.29,1195.15,1185.89,17.6026
468,1273,1195.59,1185.92,17.6018
469,1272.73,1194.75,1186.05,17.6025
470,1272.81,1195.48,1186.07,17.6019
471,1272.29,1195.05,1185.92,17.6027
