测量序号,通道1值(um),通道2值(um),通道3值(um),计算直径(mm)
320,1385.24,2004.74,1436.2,17.6018
321,1385.29,2004.82,1436.32,17.6017
322,1385.27,2004.97,1436.39,17.6015
323,1385.63,2005.07,1436.65,17.601
324,1386,2004.95,1436.16,17.6012
325,1385.88,2004.88,1435.68,17.6017
326,1386.32,2004.98,1436.27,17.6009
327,1386.82,2004.96,1436.43,17.6005
328,1386.81,2004.82,1436.75,17.6003
329,1386.99,2005.01,1436.81,17.6001
330,1386.74,2005.09,1436.38,17.6005
331,1386.19,2004.94,1436.66,17.6007
332,1386.05,2004.94,1437.07,17.6006
333,1386.64,2004.79,1437,17.6003
334,1386.49,2004.65,1436.65,17.6007
335,1386.02,2004.91,1436.41,17.601
336,1386.3,2004.9,1436.6,17.6007
337,1386.15,2004.74,1436.32,17.6011
338,1386.35,2004.82,1436,17.6012
339,1386.88,2004.88,1436.75,17.6002
340,1386.44,2004.79,1436.93,17.6005
341,1386.51,2004.85,1436.66,17.6006
342,1385.98,2004.86,1436.6,17.601
343,1385.92,2004.85,1436.51,17.6011
344,1386.36,2004.84,1436.53,17.6008
345,1386.44,2004.69,1436.54,17.6008
346,1387.05,2004.79,1436.74,17.6002
347,1386.68,2004.88,1436.64,17.6005
348,1385.81,2004.86,1436.55,17.6011
349,1385.64,2004.83,1436.02,17.6016
350,1385.88,2004.82,1435.93,17.6015
351,1385.35,2004.78,1436.34,17.6016
352,1385.3,2004.85,1436.34,17.6016
353,1386.25,2004.85,1436.62,17.6008
354,1386.79,2004.66,1436.33,17.6007
355,1386.42,2004.72,1436.02,17.6012
356,1386.4,2004.84,1436.39,17.6008
357,1386.81,2004.99,1436.55,17.6004
358,1386.38,2005.03,1436.79,17.6005
359,1385.67,2004.85,1437.22,17.6008
360,1385.98,2004.81,1436.71,17.6009
361,1386.51,2004.9,1436.41,17.6007
362,1386.43,2004.89,1436.62,17.6006
363,1386.87,2004.92,1436.53,17.6004
364,1386.88,2004.93,1436.62,17.6003
365,1386.5,2005,1436.45,17.6006
366,1386.46,2005.03,1436.69,17.6005
367,1386.04,2004.95,1436.72,17.6008
368,1385.5,2004.97,1435.97,17.6017
369,1385.46,2004.99,1436.35,17.6014
370,1385.72,2004.92,1436.58,17.6011
371,1386.05,2004.83,1436.48,17.601
372,1386.11,2004.7,1436.57,17.601
373,1385.97,2004.81,1436.39,17.6012
374,1386.14,2004.87,1436.24,17.6011
375,1386.21,2004.75,1436.23,17.6011
376,1386.22,2004.9,1436.44,17.6009
377,1386.42,2004.8,1436.22,17.601
378,1386.25,2004.71,1435.97,17.6013
379,1385.76,2004.89,1436.24,17.6014
380,1385.63,2004.92,1436.43,17.6013
381,1385.81,2004.9,1436.59,17.6011
382,1385.91,2004.97,1436.48,17.601
383,1386,2004.88,1436.03,17.6013
384,1385.6,2004.79,1435.85,17.6018
385,1385.5,2004.8,1435.86,17.6018
386,1385.92,2004.93,1436.08,17.6013
387,1385.57,2004.79,1436.22,17.6016
388,1385.86,2004.87,1436.25,17.6013
389,1386.21,2004.98,1436.3,17.6009
390,1385.54,2004.79,1436.21,17.6016
391,1385.46,2004.68,1435.97,17.6019
392,1386.43,2004.67,1435.73,17.6014
393,1386.87,2004.96,1436.19,17.6006
394,1387.02,2005,1436.16,17.6005
395,1386.65,2004.83,1436.18,17.6008
396,1385.91,2004.86,1436.06,17.6014
397,1385.57,2004.87,1435.99,17.6017
398,1385.67,2004.77,1436.28,17.6015
399,1385.96,2004.87,1436.27,17.6012
400,1385.65,2004.88,1436.82,17.601
401,1385.68,2004.81,1436.75,17.6011
402,1385.93,2004.81,1436.48,17.6011
403,1386.06,2004.85,1436.47,17.601
404,1386.41,2004.81,1436.33,17.6009
405,1386.07,2004.78,1436.54,17.601
406,1385.46,2004.92,1436.86,17.6011
407,1386.05,2004.92,1437,17.6006
408,1386.44,2004.79,1437.17,17.6003
409,1386.16,2004.85,1436.73,17.6008
410,1385.94,2004.92,1436.94,17.6007
411,1385.57,2004.92,1437.15,17.6009
412,1386.26,2004.86,1436.47,17.6009
413,1387.24,2004.75,1436.32,17.6004
414,1386.84,2004.85,1436.14,17.6007
415,1386.58,2004.86,1436.52,17.6006
416,1386.7,2004.63,1437.02,17.6003
417,1386.43,2004.68,1437.09,17.6005
418,1386.15,2004.86,1437.11,17.6005
419,1386.25,2004.97,1436.83,17.6006
420,1385.9,2004.97,1436.28,17.6012
421,1385.8,2004.88,1436.08,17.6014
422,1386,2004.85,1436.79,17.6008
423,1385.93,2004.8,1436.91,17.6008
424,1385.73,2004.75,1436.76,17.6011
425,1386.07,2004.67,1436.57,17.6011
426,1386.6,2004.69,1436.39,17.6008
427,1386.47,2004.95,1436.45,17.6007
428,1386.82,2005,1436.35,17.6005
429,1386.49,2004.88,1436.46,17.6007
430,1385.79,2004.82,1436.23,17.6014
431,1385.98,2004.81,1436.57,17.601
432,1386.52,2004.78,1436.47,17.6007
433,1386.14,2004.76,1436.05,17.6013
434,1386.08,2004.82,1436.21,17.6012
435,1386.28,2004.83,1436.48,17.6009
436,1385.82,2004.78,1436.71,17.6011
437,1385.95,2004.79,1436.76,17.6009
438,1386.11,2004.89,1436.93,17.6006
439,1385.78,2004.88,1436.61,17.6011
440,1386.11,2004.76,1436.23,17.6012
441,1386.39,2004.86,1436.44,17.6008
442,1386.6,2004.97,1436.63,17.6005
443,1387.12,2004.91,1436.45,17.6003
444,1386.37,2004.89,1436.6,17.6007
445,1385.88,2004.84,1437.11,17.6007
446,1386.31,2004.73,1437.17,17.6004
447,1386.73,2004.77,1436.78,17.6004
448,1386.01,2005.06,1436.45,17.6009
449,1385.44,2005.02,1436.19,17.6015
450,1385.95,2004.83,1436.41,17.6011
451,1386.85,2004.83,1436.72,17.6003
452,1386.66,2004.69,1436.18,17.6009
453,1385.92,2004.62,1436.27,17.6014
454,1386.34,2004.59,1436.43,17.601
455,1386.51,2004.66,1436.64,17.6007
456,1386.25,2004.69,1436.86,17.6007
457,1386.5,2004.72,1436.06,17.6011
458,1386.65,2004.79,1436.14,17.6009
459,1386.37,2004.6,1436.68,17.6008
460,1386.13,2004.62,1436.72,17.6009
461,1385.6,2004.78,1436.67,17.6012
462,1385.96,2004.69,1436.7,17.601
463,1386.41,2004.6,1436.75,17.6007
464,1386.24,2004.83,1437.06,17.6005
465,1386.33,2004.93,1437.07,17.6004
466,1386.49,2004.88,1436.38,17.6008
467,1386.94,2004.9,1436.24,17.6005
468,1387.21,2004.86,1436.67,17.6001
469,1386.57,2004.89,1436.55,17.6006
470,1386.07,2004.95,1437.06,17.6006
471,1386.64,2004.78,1436.97,17.6003
472,1386.66,2004.82,1436.63,17.6005
473,1386.37,2004.85,1436.93,17.6005
474,1386.45,2004.65,1436.71,17.6007
475,1386.08,2004.68,1436.7,17.601
476,1386.67,2004.8,1436.79,17.6004
477,1386.59,2004.87,1436.93,17.6003
478,1386.33,2004.9,1436.84,17.6005
479,1386.77,2005.01,1436.3,17.6005
480,1386.9,2004.84,1436.32,17.6006
481,1386.5,2004.78,1436.59,17.6007
482,1386.15,2004.82,1436.68,17.6008
483,1386.7,2004.85,1437.4,17.5999
484,1387,2004.89,1437.08,17.5999
485,1386.96,2004.68,1436.34,17.6006
486,1386.47,2004.71,1436.51,17.6008
487,1385.99,2004.77,1436.21,17.6013
488,1386.38,2004.62,1436.18,17.6011
489,1386.68,2004.6,1436.59,17.6007
490,1386.53,2004.97,1436.37,17.6007
491,1386.21,2004.88,1435.99,17.6012
492,1386.24,2004.55,1435.94,17.6014
493,1386.46,2004.74,1436.42,17.6008
494,1386.36,2004.75,1436.3,17.601
495,1386.36,2004.92,1436.13,17.601
496,1386.07,2005.05,1436.65,17.6008
497,1386.15,2004.87,1436.84,17.6007
498,1386.23,2004.81,1436.52,17.6009
499,1385.95,2004.72,1436.23,17.6013
500,1385.78,2004.73,1436.46,17.6013
501,1385.83,2004.83,1436.4,17.6012
502,1385.87,2004.79,1436.55,17.6011
503,1386.39,2004.91,1436.81,17.6005
504,1386.68,2005.02,1436.41,17.6005
505,1386.26,2004.86,1436.05,17.6012
506,1385.91,2004.76,1436.51,17.6012
507,1386.57,2004.84,1436.84,17.6004
508,1387.27,2004.95,1436.19,17.6003
509,1386.81,2004.86,1436.16,17.6007
510,1386.18,2004.81,1436.5,17.6009
511,1385.68,2004.86,1436.18,17.6015
512,1385.97,2004.71,1436.29,17.6013
513,1386.7,2004.65,1437.08,17.6003
514,1386.67,2004.82,1436.97,17.6003
515,1386.11,2004.96,1436.1,17.6012
516,1385.78,2004.72,1436.21,17.6015
517,1386,2004.7,1436.06,17.6014
518,1386.12,2005.01,1435.68,17.6014
519,1386.56,2004.99,1436.34,17.6007
520,1386.41,2004.88,1436.35,17.6008
521,1385.73,2004.86,1436.36,17.6013
522,1385.91,2004.84,1436.68,17.601
523,1385.81,2004.77,1436.5,17.6012
524,1385.97,2004.83,1436.34,17.6012
525,1386.53,2004.91,1436.69,17.6005
526,1386.59,2004.79,1437.25,17.6002
527,1386.4,2004.71,1437.1,17.6004
528,1385.91,2004.89,1436.58,17.601
529,1386.06,2004.87,1436.63,17.6009
530,1386.75,2004.74,1436.71,17.6004
531,1386.25,2004.72,1436.44,17.601
532,1385.97,2004.74,1436.13,17.6014
533,1386.17,2004.69,1435.77,17.6015
534,1386.4,2004.65,1436.07,17.6012
535,1386.01,2004.95,1436.3,17.6011
536,1385.79,2005,1436.16,17.6013
537,1386.41,2004.8,1436.04,17.6011
538,1386.52,2004.79,1436.02,17.601
539,1386.13,2004.67,1436.11,17.6013
540,1385.65,2004.68,1436.17,17.6016
541,1385.6,2004.78,1436.14,17.6016
542,1386.06,2004.91,1436.09,17.6012
543,1386.02,2004.8,1436.22,17.6012
544,1386.03,2004.46,1436.26,17.6014
545,1385.82,2004.57,1436,17.6017
546,1386.06,2004.71,1436.23,17.6013
547,1386.41,2004.76,1436.12,17.6011
548,1386.16,2004.88,1436.23,17.6011
549,1386.85,2004.94,1436.89,17.6001
550,1387.04,2004.89,1436.64,17.6002
551,1387.11,2004.84,1436.21,17.6005
552,1386.67,2004.82,1436.41,17.6007
553,1386.11,2004.73,1436.99,17.6007
554,1385.81,2004.67,1436.38,17.6014
555,1385.47,2004.72,1436.46,17.6015
556,1386.05,2004.77,1436.93,17.6008
557,1387.1,2004.76,1436.65,17.6002
558,1387.15,2004.75,1436.81,17.6001
559,1386.62,2004.81,1436.78,17.6004
560,1386.66,2004.77,1436.51,17.6006
561,1385.77,2004.76,1436.6,17.6012
562,1385.57,2004.8,1436.69,17.6012
563,1386.46,2004.8,1436.62,17.6007
564,1386.79,2004.7,1436.56,17.6005
565,1386.73,2004.65,1435.98,17.601
566,1385.92,2004.66,1435.93,17.6016
567,1385.47,2004.66,1436.24,17.6017
568,1385.82,2004.8,1436.34,17.6013
569,1385.79,2004.82,1436.65,17.6011
570,1386.26,2004.7,1436.67,17.6008
571,1386.07,2004.7,1436.73,17.6009
572,1385.79,2004.71,1437.08,17.6009
573,1386.5,2004.74,1436.91,17.6005
574,1386.37,2004.83,1436.42,17.6009
575,1386.38,2004.76,1436.68,17.6007
576,1386.6,2004.62,1437.04,17.6004
577,1386.42,2004.79,1436.61,17.6007
578,1385.84,2004.82,1436.36,17.6013
579,1386.31,2004.65,1436.57,17.6009
580,1386.51,2004.57,1436.5,17.6009
581,1385.73,2004.72,1436.59,17.6012
582,1386.06,2004.77,1436.9,17.6008
583,1386.43,2004.65,1436.86,17.6006
584,1386.41,2004.69,1436.89,17.6006
585,1386.37,2004.77,1436.7,17.6007
586,1385.94,2004.8,1436.13,17.6014
587,1386.27,2004.82,1436.74,17.6007
588,1386.57,2004.78,1436.92,17.6004
589,1386.49,2004.73,1436.57,17.6007
590,1386.7,2004.63,1436.98,17.6004
591,1386.4,2004.64,1436.64,17.6008
592,1386.16,2004.79,1436.11,17.6012
593,1386.62,2004.78,1436.13,17.6009
594,1386.93,2004.92,1436.29,17.6005
595,1387.13,2005.07,1436.32,17.6002
596,1387.54,2004.97,1436.32,17.6
597,1387.04,2004.86,1436.57,17.6003
598,1386.8,2004.94,1436.54,17.6004
599,1386.49,2004.89,1436.61,17.6006
600,1386.43,2004.75,1436.67,17.6007
